Rank,Player,Team,Bye,POS,Yahoo,Fantrax,FFC,Sleeper,AVG
1,Jonathan Taylor,IND,14,RB1,1,1,1,1,1
2,Austin Ekeler,LAC,8,RB2,3,2,3,4,3
3,Cooper Kupp,LAR,7,WR1,2,3,4,5,3.5
4,Derrick Henry,TEN,6,RB3,5,5,2,3,3.8
5,Christian McCaffrey,CAR,13,RB4,4,4,6,2,4
6,Justin Jefferson,MIN,7,WR2,6,6,7,6,6.3
7,Najee Harris,PIT,9,RB5,9,7,5,8,7.3
8,Dalvin Cook,MIN,7,RB6,7,8,9,7,7.8
9,Ja'Marr Chase,CIN,10,WR3,8,9,11,9,9.3
10,Joe Mixon,CIN,10,RB7,10,11,8,10,9.8
11,Davante Adams,LV,6,WR4,12,10,13,11,11.5
12,Stefon Diggs,BUF,7,WR5,11,12,14,14,12.8
13,Nick Chubb,CLE,9,RB8,13,17,10,15,13.8
14,Travis Kelce,KC,8,TE1,15,13,16,12,14
15,D'Andre Swift,DET,6,RB9,17,16,12,13,14.5
16,Aaron Jones,GB,14,RB10,14,22,15,19,17.5
17,CeeDee Lamb,DAL,9,WR6,16,21,17,16,17.5
18,Deebo Samuel,SF,9,WR7,19,15,18,24,19
19,Alvin Kamara,NO,14,RB11,22,18,20,17,19.3
20,Javonte Williams,DEN,9,RB12,24,14,19,23,20
21,Saquon Barkley,NYG,9,RB13,23,23,21,18,21.3
22,Tyreek Hill,MIA,11,WR8,26,19,22,20,21.8
23,Josh Allen,BUF,7,QB1,20,27,23,21,22.8
24,Leonard Fournette,TB,11,RB14,18,24,25,25,23
25,Mark Andrews,BAL,10,TE2,25,20,26,22,23.3
26,Mike Evans,TB,11,WR9,21,29,24,26,25
27,A.J. Brown,PHI,7,WR10,32,26,29,27,28.5
28,Keenan Allen,LAC,8,WR11,29,28,28,31,29
29,Ezekiel Elliott,DAL,9,RB15,27,37,27,28,29.8
30,Tee Higgins,CIN,10,WR12,28,30,32,33,30.8
31,James Conner,ARI,13,RB16,30,36,31,30,31.8
32,Cam Akers,LAR,7,RB17,33,25,37,34,32.3
33,David Montgomery,CHI,14,RB18,35,34,30,35,33.5
34,Kyle Pitts,ATL,14,TE3,37,33,43,29,35.5
35,Patrick Mahomes II,KC,8,QB2,34,40,36,32,35.5
36,Michael Pittman Jr.,IND,14,WR13,31,43,34,42,37.5
37,Justin Herbert,LAC,8,QB3,36,41,38,36,37.8
38,Antonio Gibson,WAS,14,RB19,41,32,35,44,38
39,Terry McLaurin,WAS,14,WR14,42,44,39,40,41.3
40,Jaylen Waddle,MIA,11,WR15,43,31,46,46,41.5
41,George Kittle,SF,9,TE4,45,47,41,38,42.8
42,Diontae Johnson,PIT,9,WR16,48,35,48,41,43
43,Breece Hall,NYJ,10,RB20,39,39,57,37,43
44,Josh Jacobs,LV,6,RB21,47,38,44,48,44.3
45,Travis Etienne Jr.,JAC,11,RB22,50,46,45,39,45
46,DJ Moore,CAR,13,WR17,38,45,54,45,45.5
47,Elijah Mitchell,SF,9,RB23,40,48,40,54,45.5
48,DK Metcalf,SEA,11,WR18,53,42,42,47,46
49,Darren Waller,LV,6,TE5,46,49,49,43,46.8
50,Lamar Jackson,BAL,10,QB4,44,52,52,49,49.3
51,Mike Williams,LAC,8,WR19,49,50,47,51,49.3
52,J.K. Dobbins,BAL,10,RB24,54,82,33,50,54.8
53,Joe Burrow,CIN,10,QB5,52,62,55,57,56.5
54,AJ Dillon,GB,14,RB25,58,56,58,63,58.8
55,Kyler Murray,ARI,13,QB6,56,64,61,56,59.3
56,Courtland Sutton,DEN,9,WR20,51,67,70,52,60
57,Jerry Jeudy,DEN,9,WR21,61,66,62,53,60.5
58,Damien Harris,NE,10,RB26,63,58,53,69,60.8
59,Brandin Cooks,HOU,6,WR22,69,57,60,62,62
60,Marquise Brown,ARI,13,WR23,72,54,65,59,62.5
61,Clyde Edwards-Helaire,KC,8,RB27,68,65,56,64,63.3
62,Dalton Schultz,DAL,9,TE6,55,70,73,61,64.8
63,T.J. Hockenson,DET,6,TE7,62,68,64,65,64.8
64,Amari Cooper,CLE,9,WR24,74,55,76,55,65
65,Allen Robinson II,LAR,7,WR25,57,74,71,58,65
66,Chris Godwin,TB,11,WR26,90,53,59,60,65.5
67,Jalen Hurts,PHI,7,QB7,59,76,66,66,66.8
68,Michael Thomas,NO,14,WR27,80,71,51,70,68
69,Miles Sanders,PHI,7,RB28,70,81,63,67,70.3
70,Gabriel Davis,BUF,7,WR28,67,63,79,78,71.8
71,Amon-Ra St. Brown,DET,6,WR29,75,51,94,68,72
72,Adam Thielen,MIN,7,WR30,84,73,67,71,73.8
73,Darnell Mooney,CHI,14,WR31,95,59,78,72,76
74,Dak Prescott,DAL,9,QB8,73,69,82,80,76
75,Russell Wilson,DEN,9,QB9,71,79,77,82,77.3
76,JuJu Smith-Schuster,KC,8,WR32,64,80,95,74,78.3
77,Dallas Goedert,PHI,7,TE8,65,85,85,81,79
78,Kareem Hunt,CLE,9,RB29,89,84,69,77,79.8
79,Devin Singletary,BUF,7,RB30,76,75,80,89,80
80,Hunter Renfrow,LV,6,WR33,99,61,75,90,81.3
81,Rashaad Penny,SEA,11,RB31,83,83,68,91,81.3
82,Tom Brady,TB,11,QB10,60,93,91,85,82.3
83,Tony Pollard,DAL,9,RB32,93,87,72,86,84.5
84,Elijah Moore,NYJ,10,WR34,101,60,93,87,85.3
85,DeAndre Hopkins,ARI,13,WR35,100,113,50,79,85.5
86,Rashod Bateman,BAL,10,WR36,82,90,99,75,86.5
87,Matthew Stafford,LAR,7,QB11,87,86,74,100,86.8
88,Cordarrelle Patterson,ATL,14,RB33,96,72,96,84,87
89,Ken Walker III,SEA,11,RB34,103,88,87,73,87.8
90,Chase Edmonds,MIA,11,RB35,92,89,83,92,89
91,Dawson Knox,BUF,7,TE9,77,106,86,93,90.5
92,DeVonta Smith,PHI,7,WR37,108,78,88,88,90.5
93,Aaron Rodgers,GB,14,QB12,86,97,90,98,92.8
94,Melvin Gordon III,DEN,9,RB36,98,100,81,101,95
95,Zach Ertz,ARI,13,TE10,88,96,110,94,97
96,Rhamondre Stevenson,NE,10,RB37,97,95,92,106,97.5
97,Tyler Lockett,SEA,11,WR38,111,77,111,96,98.8
98,Brandon Aiyuk,SF,9,WR39,105,91,104,95,98.8
99,Trey Lance,SF,9,QB13,106,103,103,103,103.8
100,Robert Woods,TEN,6,WR40,130,98,89,104,105.3
101,Michael Carter,NYJ,10,RB38,127,92,102,113,108.5
102,Derek Carr,LV,6,QB14,110,112,105,114,110.3
103,James Cook,BUF,7,RB39,113,127,100,102,110.5
104,Drake London,ATL,14,WR41,123,99,145,76,110.8
105,Allen Lazard,GB,14,WR42,109,123,106,105,110.8
106,James Robinson,JAC,11,RB40,126,119,84,118,111.8
107,Christian Kirk,JAC,11,WR43,124,102,118,107,112.8
108,Mike Gesicki,MIA,11,TE11,120,115,108,111,113.5
109,Russell Gage,TB,11,WR44,122,108,109,116,113.8
110,Ronald Jones II,KC,8,RB41,117,122,98,119,114
111,Alexander Mattison,MIN,7,RB42,133,110,97,121,115.3
112,Kirk Cousins,MIN,7,QB15,116,104,119,123,115.5
113,Chase Claypool,PIT,9,WR45,139,105,112,108,116
114,Darrell Henderson Jr.,LAR,7,RB43,131,117,101,126,118.8
115,Buffalo Bills,DST,7,DST1,66,131,122,157,119
116,Kadarius Toney,NYG,9,WR46,150,109,116,112,121.8
117,Pat Freiermuth,PIT,9,TE12,112,141,126,109,122
118,Chris Olave,NO,14,WR47,143,111,138,97,122.3
119,Treylon Burks,TEN,6,WR48,174,94,141,83,123
120,Tampa Bay Buccaneers,DST,11,DST2,79,147,121,161,127
121,Justin Tucker,BAL,10,K1,78,140,147,156,130.3
122,Isaiah Spiller,LAC,8,RB44,175,101,128,117,130.3
123,Dameon Pierce,HOU,6,RB45,137,155,120,115,131.8
124,Nyheim Hines,IND,14,RB46,154,137,113,125,132.3
125,Tua Tagovailoa,MIA,11,QB16,148,121,130,131,132.5
126,Garrett Wilson,NYJ,10,WR49,158,107,185,99,137.3
127,Tyler Boyd,CIN,10,WR50,171,114,149,124,139.5
128,Raheem Mostert,MIA,11,RB47,144,158,107,155,141
129,Jarvis Landry,NO,14,WR51,161,135,137,132,141.3
130,Marquez Valdes-Scantling,KC,8,WR52,172,143,132,120,141.8
131,Rachaad White,TB,11,RB48,166,133,140,133,143
132,Indianapolis Colts,DST,14,DST3,102,171,134,169,144
133,Daniel Carlson,LV,6,K2,104,156,154,164,144.5
134,J.D. McKissic,WAS,14,RB49,178,130,123,147,144.5
135,Marlon Mack,HOU,6,RB50,121,210,114,135,145
136,Cole Kmet,CHI,14,TE13,189,124,146,122,145.3
137,Justin Fields,CHI,14,QB17,167,118,163,137,146.3
138,Skyy Moore,KC,8,WR53,187,161,131,110,147.3
139,Kenneth Gainwell,PHI,7,RB51,193,126,125,145,147.3
140,Albert Okwuegbunam,DEN,9,TE14,125,151,190,127,148.3
141,Tyler Allgeier,ATL,14,RB52,173,176,115,134,149.5
142,Kenny Golladay,NYG,9,WR54,164,125,173,140,150.5
143,Harrison Butker,KC,8,K3,114,166,164,160,151
144,DeVante Parker,NE,10,WR55,168,145,143,150,151.5
145,Los Angeles Rams,DST,7,DST4,91,216,144,162,153.3
146,Dallas Cowboys,DST,9,DST5,132,120,202,159,153.3
147,San Francisco 49ers,DST,9,DST6,81,215,152,166,153.5
148,Julio Jones,TB,11,WR56,129,206,150,141,156.5
149,Deshaun Watson,CLE,9,QB18,146,202,136,143,156.8
150,Matt Gay,LAR,7,K4,107,200,157,165,157.3
151,Trevor Lawrence,JAC,11,QB19,197,129,162,151,159.8
152,Michael Gallup,DAL,9,WR57,205,178,129,130,160.5
153,Christian Watson,GB,14,WR58,181,159,174,129,160.8
154,Mark Ingram II,NO,14,RB53,159,189,124,172,161
155,DJ Chark Jr.,DET,6,WR59,177,138,183,149,161.8
156,Irv Smith Jr.,MIN,7,TE15,209,128,168,144,162.3
157,Jamaal Williams,DET,6,RB54,186,149,139,176,162.5
158,George Pickens,PIT,9,WR60,142,195,181,139,164.3
159,Mecole Hardman,KC,8,WR61,151,152,184,171,164.5
160,Tyler Bass,BUF,7,K5,94,245,153,168,165
161,Rondale Moore,ARI,13,WR62,192,116,217,138,165.8
162,Gus Edwards,BAL,10,RB55,211,154,117,182,166
163,Jameson Williams,DET,6,WR63,199,142,191,136,167
164,Matt Ryan,IND,14,QB20,190,162,148,170,167.5
165,Mac Jones,NE,10,QB21,141,165,189,177,168
166,Hunter Henry,NE,10,TE16,145,236,165,128,168.5
167,New Orleans Saints,DST,14,DST7,118,146,214,200,169.5
168,Denver Broncos,DST,9,DST8,115,190,176,199,170
169,Noah Fant,SEA,11,TE17,204,191,142,154,172.8
170,Jahan Dotson,WAS,14,WR64,196,157,199,142,173.5
171,Darrel Williams,ARI,13,RB56,185,169,151,189,173.5
172,Jalen Tolbert,DAL,9,WR65,162,167,218,152,174.8
173,Evan McPherson,CIN,10,K6,85,175,,158,139.3
174,Sony Michel,MIA,11,RB57,157,164,158,221,175
175,New England Patriots,DST,10,DST9,210,136,188,167,175.3
176,David Njoku,CLE,9,TE18,188,153,208,153,175.5
177,Jameis Winston,NO,14,QB22,176,181,175,173,176.3
178,D'Onta Foreman,CAR,13,RB58,201,172,159,188,180
179,Sammy Watkins,GB,14,WR66,152,180,213,187,183
180,Robert Tonyan,GB,14,TE19,212,177,160,192,185.3
181,Jakobi Meyers,NE,10,WR67,180,134,,146,153.3
182,Alec Pierce,IND,14,WR68,182,192,206,178,189.5
183,Khalil Herbert,CHI,14,RB59,194,139,,148,160.3
184,Tyrion Davis-Price,SF,9,RB60,207,233,155,175,192.5
185,Green Bay Packers,DST,14,DST10,138,289,156,197,195
186,Romeo Doubs,GB,14,WR69,203,204,169,202,194.5
187,Gerald Everett,LAC,8,TE20,218,183,196,181,194.5
188,Matt Prater,ARI,13,K7,208,214,166,191,194.8
189,Evan Engram,JAC,11,TE21,183,160,220,218,195.3
190,Cameron Brate,TB,11,TE22,147,205,221,213,196.5
191,Baker Mayfield,CAR,13,QB23,136,209,240,208,198.3
192,Zamir White,LV,6,RB61,198,218,194,185,198.8
193,Baltimore Ravens,DST,10,DST11,163,222,223,193,200.3
194,Rodrigo Blankenship,IND,14,K8,216,199,193,194,200.5
195,Los Angeles Chargers,DST,8,DST12,,173,187,163,174.3
196,Nick Folk,NE,10,K9,155,310,171,198,208.5
197,Brian Robinson Jr.,WAS,14,RB62,,185,167,179,177
198,Pittsburgh Steelers,DST,9,DST13,214,237,161,201,203.3
199,Younghoe Koo,ATL,14,K10,128,368,216,195,226.8
200,Van Jefferson,LAR,7,WR70,,150,207,190,182.3
201,Tyler Higbee,LAR,7,TE23,195,270,198,174,209.3
202,Miami Dolphins,DST,11,DST14,226,144,228,243,210.3
203,Ryan Tannehill,TEN,6,QB24,,132,225,205,187.3
204,Carson Wentz,WAS,14,QB25,134,207,,223,188
205,Ryan Succop,TB,11,K11,221,174,172,,189
206,Jared Goff,DET,6,QB26,165,228,232,225,212.5
207,Zach Wilson,NYJ,10,QB27,135,332,238,204,227.3
208,Kansas City Chiefs,DST,8,DST15,225,196,170,274,216.3
209,Kenyan Drake,LV,6,RB63,,193,177,222,197.3
210,Brandon McManus,DEN,9,K12,223,269,186,196,218.5
211,Chuba Hubbard,CAR,13,RB64,,285,135,184,201.3
212,Robbie Anderson,CAR,13,WR71,,168,234,210,204
213,K.J. Osborn,MIN,7,WR72,,188,241,183,204
214,Dustin Hopkins,LAC,8,K13,224,184,204,,204
215,Austin Hooper,TEN,6,TE24,206,260,222,209,224.3
216,Las Vegas Raiders,DST,6,DST16,153,182,,,167.5
217,Odell Beckham Jr.,,,WR73,160,320,,186,222
218,Jamison Crowder,BUF,7,WR74,,187,226,216,209.7
219,Robbie Gould,SF,9,K14,156,352,235,239,245.5
220,Wan'Dale Robinson,NYG,9,WR75,,247,178,206,210.3
221,Hayden Hurst,CIN,10,TE25,170,288,,180,212.7
222,Marvin Jones Jr.,JAC,11,WR76,,170,236,233,213
223,Isiah Pacheco,KC,8,RB65,184,219,,242,215
224,Trey Sermon,SF,9,RB66,,263,133,252,216
225,Kyle Rudolph,TB,11,TE26,,231,179,241,217
226,Logan Thomas,WAS,14,TE27,220,266,211,237,233.5
227,Joshua Palmer,LAC,8,WR77,,163,,212,187.5
228,Wil Lutz,NO,14,K15,202,223,242,272,234.8
229,Greg Joseph,MIN,7,K16,140,275,243,,219.3
230,Corey Davis,NYJ,10,WR78,,148,,230,189
231,D'Ernest Johnson,CLE,9,RB67,,217,201,249,222.3
232,Isaiah McKenzie,BUF,7,WR79,,312,192,203,235.7
233,Chris Boswell,PIT,9,K17,169,317,230,,238.7
234,Cade York,CLE,9,K18,191,311,210,,237.3
235,Davis Mills,HOU,6,QB28,,179,,231,205
236,Curtis Samuel,WAS,14,WR80,,186,,226,206
237,Hassan Haskins,TEN,6,RB68,,194,,224,209
238,Donovan Peoples-Jones,CLE,9,WR81,,203,,217,210
239,Cleveland Browns,DST,9,DST17,222,284,212,271,247.3
240,Tennessee Titans,DST,6,DST18,217,213,,276,235.3
241,Jerick McKinnon,KC,8,RB69,,340,182,245,255.7
242,Parris Campbell,IND,14,WR82,,329,215,215,253
243,Greg Zuerlein,NYJ,10,K19,149,354,,,251.5
244,Daniel Jones,NYG,9,QB29,215,286,,219,240
245,Mike Davis,BAL,10,RB70,,242,195,,218.5
246,Philadelphia Eagles,DST,7,DST19,227,347,219,273,266.5
247,A.J. Green,ARI,13,WR83,,302,205,236,247.7
248,Nico Collins,HOU,6,WR84,,276,237,211,241.3
249,Taysom Hill,NO,14,QB30,,212,,232,222
250,Jason Sanders,MIA,11,K20,213,290,231,,244.7
251,William Fuller V,,,WR85,,211,,235,223
252,Minnesota Vikings,DST,7,DST20,229,220,,,224.5
253,Samaje Perine,CIN,10,RB71,,243,229,264,245.3
254,Boston Scott,PHI,7,RB72,,254,209,,231.5
255,Matt Breida,NYG,9,RB73,,268,227,251,248.7
256,Devin Duvernay,BAL,10,WR86,,225,,240,232.5
257,KJ Hamler,DEN,9,WR87,,252,,214,233
258,Brevin Jordan,HOU,6,TE28,,232,,234,233
259,Jeff Wilson Jr.,SF,9,RB74,,221,,246,233.5
260,Myles Gaskin,MIA,11,RB75,,201,,267,234
261,Keaontay Ingram,ARI,13,RB76,,244,,228,236
262,Washington Commanders,DST,14,DST21,200,353,,275,276
263,Atlanta Falcons,DST,14,DST22,,197,,,197
264,Damien Williams,ATL,14,RB77,,307,197,,252
265,Detroit Lions,DST,6,DST23,,198,,,198
266,New York Giants,DST,9,DST24,,208,,,208
267,Cincinnati Bengals,DST,10,DST25,228,264,,,246
268,Tyler Badie,BAL,10,RB78,,248,,248,248
269,David Bell,CLE,9,WR88,,277,,220,248.5
270,Laviska Shenault Jr.,JAC,11,WR89,,234,,263,248.5
271,C.J. Uzomah,NYJ,10,TE29,,229,,269,249
272,Jake Elliott,PHI,7,K21,219,374,,,296.5
273,Trey McBride,ARI,13,TE30,,265,,238,251.5
274,Joey Slye,WAS,14,K22,,224,,,224
275,Graham Gano,NYG,9,K23,,389,224,,306.5
276,Jonathan Garibay,,,K24,,226,,,226
277,Kendrick Bourne,NE,10,WR90,,279,,229,254
278,Terrace Marshall Jr.,CAR,13,WR91,,253,,255,254
279,New York Jets,DST,10,DST26,,227,,,227
280,Carolina Panthers,DST,13,DST27,,230,,,230
281,Lirim Hajrullahu,DAL,9,K25,,,233,,233
282,Jimmy Garoppolo,SF,9,QB31,,235,,,235
283,Dontrell Hilliard,TEN,6,RB79,,258,,260,259
284,Seattle Seahawks,DST,11,DST28,,238,,,238
285,Rex Burkhead,HOU,6,RB80,,360,239,,299.5
286,Cedrick Wilson Jr.,MIA,11,WR92,,240,,,240
287,Chris Evans,CIN,10,RB81,,308,,244,276
288,Mason Crosby,GB,14,K26,,361,244,,302.5
289,Marquez Callaway,NO,14,WR93,,246,,,246
290,Eno Benjamin,ARI,13,RB82,,314,,247,280.5
291,Phillip Lindsay,IND,14,RB83,,249,,,249
292,Kenny Pickett,PIT,9,QB32,,272,,259,265.5
293,Justyn Ross,KC,8,WR94,,261,,270,265.5
294,Abram Smith,NO,14,RB84,,250,,,250
295,Tyquan Thornton,NE,10,WR95,,295,,250,272.5
296,Ke'Shawn Vaughn,TB,11,RB85,,251,,,251
297,Mitch Trubisky,PIT,9,QB33,,294,,253,273.5
298,Nick Westbrook-Ikhine,TEN,6,WR96,,381,,254,317.5
299,Amari Rodgers,GB,14,WR97,,255,,,255
300,Sterling Shepard,NYG,9,WR98,,256,,,256
301,Marcus Mariota,ATL,14,QB34,,281,,257,269
302,Velus Jones Jr.,CHI,14,WR99,,296,,256,276
303,Jalen Guyton,LAC,8,WR100,,257,,,257
304,Randall Cobb,GB,14,WR101,,330,,258,294
305,Tony Jones Jr.,NO,14,RB86,,259,,,259
306,Zay Jones,JAC,11,WR102,,349,,261,305
307,Adam Trautman,NO,14,TE31,,262,,,262
308,Mo Alie-Cox,IND,14,TE32,,321,,262,291.5
309,John Metchie III,HOU,6,WR103,,407,,265,336
310,Bryan Edwards,ATL,14,WR104,,370,,266,318
311,James Washington,DAL,9,WR105,,267,,,267
312,Demarcus Robinson,LV,6,WR106,,271,,,271
313,Pierre Strong Jr.,NE,10,RB87,,273,,280,276.5
314,Jacoby Brissett,CLE,9,QB35,,274,,,274
315,Cade Otton,TB,11,TE33,,278,,281,279.5
316,Daniel Bellinger,NYG,9,TE34,,326,,277,301.5
317,Greg Dulcich,DEN,9,TE35,,346,,278,312
318,Tyler Conklin,NYJ,10,TE36,,333,,279,306
319,Jelani Woods,IND,14,TE37,,280,,,280
320,Foster Moreau,LV,6,TE38,,282,,,282
321,Ricky Seals-Jones,NYG,9,TE39,,283,,,283
322,Desmond Ridder,ATL,14,QB36,,287,,,287
323,Josh Reynolds,DET,6,WR107,,291,,,291
324,Duke Johnson Jr.,BUF,7,RB88,,292,,,292
325,Kyren Williams,LAR,7,RB89,,293,,,293
326,Arizona Cardinals,DST,13,DST29,,297,,,297
327,Rashard Higgins,CAR,13,WR108,,298,,,298
328,O.J. Howard,BUF,7,TE40,,299,,,299
329,David Johnson,,,RB90,,300,,,300
330,Josiah Deguara,GB,14,TE41,,301,,,301
331,Kyle Philips,TEN,6,WR109,,303,,,303
332,Jerrion Ealy,KC,8,RB91,,304,,,304
333,Snoop Conner,JAC,11,RB92,,305,,,305
334,Jauan Jennings,SF,9,WR110,,306,,,306
335,Antonio Brown,,,WR111,,309,,,309
336,Olamide Zaccheaus,ATL,14,WR112,,313,,,313
337,Jonnu Smith,NE,10,TE42,,315,,,315
338,Malik Willis,TEN,6,QB37,,316,,,316
339,Byron Pringle,CHI,14,WR113,,318,,,318
340,Cam Sims,WAS,14,WR114,,319,,,319
341,Jaelon Darden,TB,11,WR115,,322,,,322
342,Josh Gordon,KC,8,WR116,,323,,,323
343,N'Keal Harry,CHI,14,WR117,,324,,,324
344,James Proche II,BAL,10,WR118,,325,,,325
345,Geno Smith,SEA,11,QB38,,327,,,327
346,Jody Fortson,KC,8,WR119,,328,,,328
347,Jake Kumerow,BUF,7,WR120,,331,,,331
348,Zack Moss,BUF,7,RB93,,334,,,334
349,Jake Funk,LAR,7,RB94,,335,,,335
350,Emmanuel Sanders,,,WR121,,336,,,336
351,Devontae Booker,,,RB95,,337,,,337
352,Marquise Goodwin,SEA,11,WR122,,338,,,338
353,Cole Beasley,,,WR123,,339,,,339
354,Nelson Agholor,NE,10,WR124,,341,,,341
355,Devonta Freeman,,,RB96,,342,,,342
356,Tyler Huntley,BAL,10,QB39,,343,,,343
357,Zach Pascal,PHI,7,WR125,,344,,,344
358,Calvin Austin III,PIT,9,WR126,,345,,,345
359,T.Y. Hilton,,,WR127,,348,,,348
360,Jalen Nailor,MIN,7,WR128,,350,,,350
361,Jordan Howard,,,RB97,,351,,,351
362,Latavius Murray,,,RB98,,355,,,355
363,Tommy Tremble,CAR,13,TE43,,356,,,356
364,Jaret Patterson,WAS,14,RB99,,357,,,357
365,Michael Badgley,,,K27,,358,,,358
366,Drew Lock,SEA,11,QB40,,359,,,359
367,Quez Watkins,PHI,7,WR129,,362,,,362
368,Wayne Gallman Jr.,,,RB100,,363,,,363
369,Dan Arnold,JAC,11,TE44,,364,,,364
370,Tre'Quan Smith,NO,14,WR130,,365,,,365
371,Braxton Berrios,NYJ,10,WR131,,366,,,366
372,Giovani Bernard,TB,11,RB101,,367,,,367
373,Jared Cook,,,TE45,,369,,,369
374,Derrick Gore,KC,8,RB102,,371,,,371
375,Randy Bullock,TEN,6,K28,,372,,,372
376,Kalif Raymond,DET,6,WR132,,373,,,373
377,Brandon Bolden,LV,6,RB103,,375,,,375
378,Chicago Bears,DST,14,DST30,,376,,,376
379,Tevin Coleman,NYJ,10,RB104,,377,,,377
380,Sam Darnold,CAR,13,QB41,,378,,,378
381,Ty Johnson,NYJ,10,RB105,,379,,,379
382,Breshad Perriman,TB,11,WR133,,380,,,380
383,Deonte Harty,NO,14,WR134,,382,,,382
384,Cairo Santos,CHI,14,K29,,383,,,383
385,Raheem Blackshear,BUF,7,RB106,,384,,,384
386,Khalil Shakir,BUF,7,WR135,,385,,,385
387,Juwan Johnson,NO,14,TE46,,386,,,386
388,Kai Forbath,LAR,7,K30,,387,,,387
389,Andy Dalton,NO,14,QB42,,388,,,388
390,Dyami Brown,WAS,14,WR136,,390,,,390
391,Darius Slayton,NYG,9,WR137,,391,,,391
392,Roberto Aguayo,,,K31,,392,,,392
393,Isaiah Likely,BAL,10,TE47,,393,,,393
394,Benny Snell Jr.,PIT,9,RB107,,394,,,394
395,Anthony McFarland Jr.,PIT,9,RB108,,395,,,395
396,Danny Gray,SF,9,WR138,,396,,,396
397,Equanimeous St. Brown,CHI,14,WR139,,397,,,397
398,Tutu Atwell,LAR,7,WR140,,398,,,398
399,Kene Nwangwu,MIN,7,RB109,,399,,,399
400,Dee Eskridge,SEA,11,WR141,,400,,,400
401,Donald Parham Jr.,LAC,8,TE48,,401,,,401
402,Jordan Love,GB,14,QB43,,402,,,402
403,Matt Corral,CAR,13,QB44,,403,,,403
404,Pharaoh Brown,HOU,6,TE49,,404,,,404
